Student_ID,Government,Literature,Economics,CRK/Islam,Average_Score,Grade
0b5cea6a-4135-4e8c-b0a9-00ad939b462d,63,76,63,69,67.75,B
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,60,55,66,57,59.5,C
82dc4c8e-36b5-429a-acf5-e81e71316269,64,99,81,81,81.25,A
3c20592f-c04a-46c4-b3b6-3fe1d1843324,88,57,74,79,74.5,A
935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,67,87,60,77,72.75,A
b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,81,85,89,100,88.75,A
eadf5085-3fcb-4546-8eb2-25790cdb1ca4,87,59,99,68,78.25,A
e45b712e-b822-4688-90a4-44329cd6c852,58,89,89,98,83.5,A
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,93,91,98,55,84.25,A
89c8d2ab-6b44-4a8d-95f2-5073f41402b1,93,96,72,75,84.0,A
56666f9f-53ac-4ab9-b467-2cd9362f5e5c,52,99,68,90,77.25,A
d5bcb8d0-4094-4ded-abeb-ac31d4f8fd72,79,98,52,80,77.25,A
39669fa7-5997-4043-b3b1-025bfff9f585,94,75,91,50,77.5,A
3f4df561-f319-4125-87f1-94f9c1156d6d,83,75,68,57,70.75,A
1d48a071-ab61-47b1-b93b-4c3220500494,54,78,85,96,78.25,A
4fa03f26-f6f7-40cc-a9ec-8e49d1bdb8c0,89,100,93,60,85.5,A
60141de9-f54a-40a2-a874-66d7ad66a1bd,78,93,66,89,81.5,A
cbd58bf6-1efd-46e9-8e37-14af99b49350,56,69,92,80,74.25,A
a5c5650c-8186-4576-91a7-26095eddbbbf,59,93,98,90,85.0,A
7701f7bb-7bc6-4e1f-864e-e6e389c5b31a,55,97,89,57,74.5,A
ef43613c-d4aa-49a3-bed8-c56cda09dfa0,65,71,79,74,72.25,A
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,90,83,78,93,86.0,A
8e485223-46b9-4991-a14e-b70db380c73a,54,74,87,69,71.0,A
8e200724-7d13-4018-a80b-ac63b856d035,85,73,50,68,69.0,B
046a0df5-cafd-4613-b2bb-912d7da67785,51,92,93,78,78.5,A
5e781fd7-94e0-43ba-a9f9-48b24e6384bb,77,79,89,90,83.75,A
50c7c006-314d-4441-b8a6-171f1ee34dc4,80,51,71,68,67.5,B
bd1531c8-3764-4bda-b108-d4482f65fafa,58,82,93,57,72.5,A
a34b6cf6-2053-4a42-b1af-db65b289f224,76,75,54,51,64.0,B
1d34d08e-7a4c-45d4-9c99-e04cf0e98b3b,82,57,76,62,69.25,B
26d794d3-0db9-4301-afbb-411aa1235a8c,69,77,91,83,80.0,A
2812859a-1337-439e-8d4f-5d272c7f0b79,66,100,50,56,68.0,B
43b9da13-ec85-4f37-bbc1-a987aff8754d,72,80,67,55,68.5,B
0f44704f-1247-4a4e-a469-98e8d39e198b,88,69,51,94,75.5,A
069f14f1-4018-4c6e-9a8c-fa3c5283aac7,54,98,54,61,66.75,B
054f92ff-f366-4ad4-964d-b03f93403fad,73,81,79,91,81.0,A
f8140102-7de1-4dfe-9072-5b5ca2814044,53,65,65,86,67.25,B
292bd156-db94-4570-9ac7-0ec0ab8ddeb4,75,80,79,99,83.25,A
c2b01cfd-d045-4d1c-a684-09e3f1f8343e,70,92,72,62,74.0,A
e17f29e1-7028-4046-89bc-473fed7bf656,94,74,55,97,80.0,A
d7665cda-fe04-4059-b985-fb6217dc8eff,95,86,70,72,80.75,A
eec259dc-7f95-497c-a76a-a6ced50755d9,96,84,96,85,90.25,A
de9e3757-5260-401e-aecf-67d2749176f4,65,85,56,65,67.75,B
fd08b32c-62d6-4e93-a198-5d54cfb87e6f,76,84,79,71,77.5,A
65c17795-b155-46bc-9f8d-ed9756abf2f1,94,92,75,56,79.25,A
f4427e0b-6148-4bb3-889b-78d5dbfdd97e,95,53,92,51,72.75,A
9e11d2cd-0930-4ef6-8a80-068ddf547e50,73,68,74,85,75.0,A
5bc440f1-4b1a-469b-8e5d-d462cbd00ef2,51,50,78,90,67.25,B
2e183554-cae2-4e66-ae8a-781390e0a95b,97,64,63,84,77.0,A
7f671eec-3da7-4577-aee1-e86b9ea556aa,52,75,60,61,62.0,B
aab612c9-415d-474a-b5a6-69814104a8b5,76,78,53,63,67.5,B
12e89d10-2871-4733-8bed-db12ad77e82f,93,50,66,50,64.75,B
1b4da0fe-7bb3-4605-9a74-3152627b41a1,76,97,50,76,74.75,A
c73f6e1b-af90-4e3c-9d75-0e9890e0b95f,100,85,73,79,84.25,A
e726be23-e776-4886-9534-ee1d7f2984f5,94,77,95,92,89.5,A
088a93ec-70d9-49f8-89e2-60744f1639a0,63,63,94,80,75.0,A
