Class_Name,Number_of_Students,Number_of_Teachers,Weekly_Teaching_Hours,Weekly_Library_Time,Weekly_Computer_Training_Time,Weekly_Lab_Hours,Chalkboard,Basic_Textbooks,Chairs_Desks,Functional_Fans
SS1 Class A,51,9,24,5,2,4,2,3,51,4
SS1 Class B,52,5,21,4,3,2,2,3,52,0
SS1 Class C,55,6,25,2,3,0,2,0,55,4
SS1 Class D,53,10,34,2,3,0,1,1,53,2
SS1 Class E,55,5,30,5,3,4,1,3,55,2
SS1 Class F,56,7,23,3,3,0,2,1,56,4
SS2 Class A,54,9,26,1,2,2,3,4,54,2
SS2 Class B,58,5,28,2,3,1,2,1,58,4
SS2 Class C,50,5,28,2,2,1,3,3,50,3
SS2 Class D,50,7,20,2,2,2,2,3,50,4
SS2 Class E,57,5,28,3,3,3,1,2,57,2
SS2 Class F,54,5,23,1,2,2,1,2,54,4
SS3 Class A,57,7,35,1,3,4,3,4,57,1
SS3 Class B,57,8,21,5,2,1,2,4,57,3
SS3 Class C,54,5,29,2,3,4,1,1,54,1
SS3 Class D,56,5,22,3,3,4,3,1,56,4
SS3 Class E,54,10,33,1,2,4,1,0,54,2
SS3 Class F,54,8,23,3,2,1,1,1,54,1
