Student_ID,Extracurricular_Activity,Weekly_Hours
ccf3a171-56dc-4907-ba6c-34ab6712303a,Literature club,2
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Literature club,9
23e2fcb4-72d8-467d-894a-05e430b187ef,Debate Club,1
766ecb15-474e-4c19-aef9-12766c006f61,Debate Club,1
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Debate Club,4
db20a56e-dc81-4fe7-8eda-8bbb71710434,Art,5
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Sports,2
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Press club,10
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Literature club,8
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Debate Club,5
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Sports,7
2a25a888-0f02-4ad0-a706-7ef466aa9385,Art,6
63f2ae24-fc3d-4348-808d-4127610461e3,Literature club,9
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Literature club,5
b253d218-6c4a-47ea-8906-17f2747b6dba,Literature club,10
c88a618e-fed4-457d-bb02-6576f512c4c3,Drama,2
7c967f79-b7e9-4aca-a970-65e18e46d534,Debate Club,5
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Literature club,5
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Sports,7
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Literature club,8
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Press club,9
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Literature club,7
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Art,6
118a9d29-2f92-4996-99f1-95d014822f53,Sports,7
dca02eec-acda-4acc-9165-e21098543881,Debate Club,3
f10c718b-1eb0-438a-a75d-d5af3c365296,Press club,2
94340a03-3f07-4814-91d6-3f78e3e9de99,Press club,7
14fcdd54-9e8f-4965-8a2c-827e98326856,Drama,9
90b2b633-956b-4c0c-a849-9b926b5252e3,Debate Club,5
42c18a62-ef48-48d5-90fd-9d3f85d51695,Sports,5
506e5a9a-b758-488d-ab73-295b344a54b8,Art,3
21813d25-6552-48a6-83ff-50113d1a85dd,Literature club,4
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Press club,7
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Debate Club,5
9f044aed-7552-4327-8262-7f7312922f83,Debate Club,7
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Drama,7
8181a8cc-3691-47eb-89a2-688b12c136e0,Jet club,10
5958a499-eeea-463e-a1e8-ac6843e42caf,Literature club,5
3e896c64-e117-4ac3-919c-4ea3e1805081,Sports,3
702cdd20-2862-48b8-88f4-ef125e9953d2,Press club,7
4d71c366-b41b-4143-8b10-550cd5704f32,Drama,7
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Press club,1
aaf91531-0200-41f0-8768-a84fa76afde6,Art,10
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Art,2
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Drama,8
e3c43657-1d8c-4bac-83b4-09ef2260e70f,Debate Club,6
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Press club,1
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Jet club,6
afffcfd2-341e-440b-97c7-00aab7b56ea7,Drama,5
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Jet club,3
e87d1c78-e7c4-41c7-8049-7b717d106c60,Debate Club,6
a2607723-17a0-4f49-8d01-280fd89a40c0,Art,1
0b49452d-46d4-43f3-9450-281c6c6f7633,Press club,7
217d65a0-c568-41cd-9563-f61600e85ece,Sports,10
295d6fbf-430f-401d-bad4-09e2a319dcb4,Sports,6
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Sports,10
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Art,5
b0e6a969-e213-42b0-b1ee-dba313432e61,Press club,6
093923de-8bab-4e3b-a628-6bfbe767dcea,Jet club,7
8d7248e2-951f-48d0-9e84-f058d5a804eb,Press club,10
0ab54bde-20a0-4502-ae06-809725e97977,Jet club,8
eededb07-e623-4689-9d59-cd2a4eea04e7,Jet club,7
0a368ce7-dc57-4131-b8e1-daa7cbceabde,Literature club,2
ae9bec36-35c7-436c-9b99-62c6e61fecc0,Drama,3
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Sports,7
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Drama,2
