Student_ID,Time_ID,Math_Score,Science_Score,English_Score,Social_Studies_Score,Physical_Education_Score,Library_Hours_Week,Teacher_Hours_Week,Weekly_Activity_Hours
a689b424-7a3a-40e1-b9c7-73a0e0decc3d,13,70,95,81,51,77,7,15,1
a689b424-7a3a-40e1-b9c7-73a0e0decc3d,25,42,81,94,66,73,8,8,1
c4cb294f-e86e-4e63-8f25-477da55990e7,13,42,48,78,62,54,4,20,9
c4cb294f-e86e-4e63-8f25-477da55990e7,25,54,76,81,73,73,10,30,9
098c60b3-efc9-409e-99af-6e09b91e3d6e,13,63,58,65,62,81,1,24,10
098c60b3-efc9-409e-99af-6e09b91e3d6e,25,70,47,81,77,84,1,5,10
094d916d-eb6d-4fed-af15-8d5b2d007d05,13,85,40,53,49,73,2,29,2
094d916d-eb6d-4fed-af15-8d5b2d007d05,25,100,41,76,47,55,7,13,2
4a1a81f5-ed10-4004-9f4e-713ef64e3dfc,13,92,85,97,90,63,8,19,5
4a1a81f5-ed10-4004-9f4e-713ef64e3dfc,25,55,79,41,81,83,3,25,5
55c551fc-fba5-4cc8-adaf-37661b780ede,13,60,55,70,74,47,1,5,2
55c551fc-fba5-4cc8-adaf-37661b780ede,25,70,98,61,73,97,3,10,2
225aed6c-f045-4043-a3a6-8a707e710b55,13,73,89,77,41,43,3,27,4
225aed6c-f045-4043-a3a6-8a707e710b55,25,56,89,76,72,60,10,17,4
bb2aa146-2999-494c-94a7-b69b1cd66b09,13,40,54,56,95,46,3,8,0
bb2aa146-2999-494c-94a7-b69b1cd66b09,25,75,78,58,50,64,1,24,0
4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81,13,49,65,41,59,95,4,17,1
4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81,25,78,86,54,56,100,5,6,1
67ce378f-e5a4-483b-a383-889adb2c6ac8,13,90,98,92,74,66,3,20,0
67ce378f-e5a4-483b-a383-889adb2c6ac8,25,67,53,84,75,94,4,16,0
fb4fb88a-2f4d-4219-986b-2880ab545a15,13,47,86,97,64,91,8,14,2
fb4fb88a-2f4d-4219-986b-2880ab545a15,25,41,82,40,73,45,4,14,2
725d4259-3c4b-4eec-a231-ee7342c2d2eb,13,58,72,58,87,46,3,22,5
725d4259-3c4b-4eec-a231-ee7342c2d2eb,25,99,79,55,81,89,3,25,5
42f525b9-02ed-43ce-92a8-1713b90ed44b,13,59,45,49,83,46,5,6,1
42f525b9-02ed-43ce-92a8-1713b90ed44b,25,76,44,74,62,52,8,6,1
28e333b6-4e8a-4c4b-b724-20411e43fbd2,13,54,91,53,53,95,3,26,0
28e333b6-4e8a-4c4b-b724-20411e43fbd2,25,96,89,97,91,89,4,29,0
b0b6dedf-4f9c-4027-8514-4d98b41c504f,13,58,59,66,94,46,2,28,0
b0b6dedf-4f9c-4027-8514-4d98b41c504f,25,73,87,83,66,57,8,20,0
f5159494-3818-4fd3-b889-936a9d5817e8,13,50,68,45,87,94,7,15,7
f5159494-3818-4fd3-b889-936a9d5817e8,25,71,77,86,89,42,6,18,7
b3b26337-6a74-4bb7-9fa5-e0aa9b11b530,13,66,78,82,74,56,10,14,4
b3b26337-6a74-4bb7-9fa5-e0aa9b11b530,25,79,60,61,57,65,4,20,4
c3093b6e-37e9-42e2-935a-c07aaa0217d0,13,79,68,89,76,86,4,11,0
c3093b6e-37e9-42e2-935a-c07aaa0217d0,25,65,73,97,65,46,2,8,0
87365a84-725e-434d-8687-9aa914f573d0,13,99,92,80,46,70,9,12,10
87365a84-725e-434d-8687-9aa914f573d0,25,44,86,44,43,46,6,16,10
e723ada3-8c32-4db2-942a-895e0fcf601f,13,77,44,82,98,68,4,15,10
e723ada3-8c32-4db2-942a-895e0fcf601f,25,68,96,91,41,63,10,7,10
711c7673-8535-4a69-9abf-984e53ff8461,13,98,64,98,44,68,2,26,3
711c7673-8535-4a69-9abf-984e53ff8461,25,40,86,48,59,58,9,20,3
720b274b-82a7-4586-a61d-9cde1747f387,13,78,50,55,40,100,6,13,10
720b274b-82a7-4586-a61d-9cde1747f387,25,78,97,97,47,47,1,5,10
8f0d5540-0ec7-4662-905c-7bdd74f0beae,13,72,69,58,64,59,8,20,0
8f0d5540-0ec7-4662-905c-7bdd74f0beae,25,88,78,52,60,51,2,15,0
00c59f30-d103-4424-8124-1bb4655ce508,13,84,96,83,77,78,5,6,3
00c59f30-d103-4424-8124-1bb4655ce508,25,67,59,70,64,49,10,14,3
8a89b0f0-1052-41d3-b34c-6c7358330b30,13,71,94,68,62,92,8,26,0
8a89b0f0-1052-41d3-b34c-6c7358330b30,25,41,74,99,91,68,6,20,0
2e13418d-68ab-40ea-897e-c6d1081fc6dc,13,76,70,50,44,74,9,19,8
2e13418d-68ab-40ea-897e-c6d1081fc6dc,25,49,52,54,97,75,2,23,8
5fdcabbf-6b9c-471c-b6ba-745ba55871e3,13,58,93,40,74,83,9,16,7
5fdcabbf-6b9c-471c-b6ba-745ba55871e3,25,50,91,64,44,94,4,21,7
f6d22a7b-aec7-4a82-948b-4376602a4e57,13,84,88,46,93,82,6,10,10
f6d22a7b-aec7-4a82-948b-4376602a4e57,25,50,70,73,56,92,8,12,10
fe2b34d8-2db0-428d-9e5e-be5459077299,13,87,82,70,46,56,1,12,0
fe2b34d8-2db0-428d-9e5e-be5459077299,25,58,60,59,41,84,4,13,0
c194f97f-00e3-4026-95b6-de85390239d9,13,84,47,77,49,78,8,20,7
c194f97f-00e3-4026-95b6-de85390239d9,25,87,55,93,40,55,4,19,7
6118433b-882c-4d1e-ac93-a7918b60c511,13,59,62,76,58,90,5,9,10
6118433b-882c-4d1e-ac93-a7918b60c511,25,97,70,85,45,53,6,24,10
e00da49d-effa-4002-b040-413c4690fb15,13,85,74,94,74,90,1,25,5
e00da49d-effa-4002-b040-413c4690fb15,25,68,60,46,88,52,2,5,5
efad49e9-c41c-447e-9d6b-9b626b535a19,13,44,100,80,45,100,8,22,7
efad49e9-c41c-447e-9d6b-9b626b535a19,25,41,69,93,85,77,6,15,7
7249f62c-0898-4462-980c-b95c19d45deb,13,48,56,55,60,89,6,30,0
7249f62c-0898-4462-980c-b95c19d45deb,25,42,80,49,69,97,10,29,0
705fddf5-66fa-4ca0-8b53-1932bd9419aa,13,54,86,41,89,50,9,12,2
705fddf5-66fa-4ca0-8b53-1932bd9419aa,25,69,45,61,46,78,6,29,2
fe54ee4b-80ff-4173-a3df-ecd70e731dd7,13,53,47,50,56,90,5,21,7
fe54ee4b-80ff-4173-a3df-ecd70e731dd7,25,69,72,93,74,72,10,8,7
c5c51060-9911-41e7-93d5-63ae51a3ac26,13,72,41,69,75,99,5,29,8
c5c51060-9911-41e7-93d5-63ae51a3ac26,25,91,44,65,57,77,7,17,8
8570b59f-a903-4e67-bc56-8b5324acb722,13,81,68,56,75,74,8,18,9
8570b59f-a903-4e67-bc56-8b5324acb722,25,43,78,79,45,86,6,8,9
bc36dc59-e134-4dfc-9777-7f10f2d2393f,13,49,99,80,96,95,4,20,10
bc36dc59-e134-4dfc-9777-7f10f2d2393f,25,47,87,79,90,68,2,28,10
582b91ee-f8e8-435b-8c00-988a7ee1011a,13,41,90,43,65,97,10,14,3
582b91ee-f8e8-435b-8c00-988a7ee1011a,25,56,65,59,48,46,5,10,3
6883ac6e-6a94-4054-b241-4482519894d8,13,86,74,93,96,82,4,7,1
6883ac6e-6a94-4054-b241-4482519894d8,25,42,95,100,70,60,4,18,1
39b02e2a-d96e-484f-bdb0-174e7938878a,13,91,75,56,87,79,8,29,4
39b02e2a-d96e-484f-bdb0-174e7938878a,25,83,62,43,61,63,1,10,4
69a53b4f-8ff8-469d-8ec0-713dea2c7a51,13,77,50,40,96,53,10,20,2
69a53b4f-8ff8-469d-8ec0-713dea2c7a51,25,83,68,42,94,41,6,20,2
548c1d84-340d-4049-8147-65063e2bf9c9,13,66,50,55,68,75,8,12,2
548c1d84-340d-4049-8147-65063e2bf9c9,25,73,89,45,62,71,6,14,2
d453f867-b97e-4224-891f-691217abb863,13,70,46,64,96,96,9,16,5
d453f867-b97e-4224-891f-691217abb863,25,66,48,87,59,97,3,28,5
12a1fe7d-dfa5-4722-8a1f-c9df9a591974,13,77,61,51,78,59,9,21,0
12a1fe7d-dfa5-4722-8a1f-c9df9a591974,25,48,63,69,92,52,10,13,0
3579c143-7ab9-4428-b78e-65108f10d33e,13,56,41,62,66,56,9,18,6
3579c143-7ab9-4428-b78e-65108f10d33e,25,79,94,82,75,76,2,26,6
30a5648e-efe9-43d0-b639-08bf03ece8ff,13,63,50,83,45,53,6,6,4
30a5648e-efe9-43d0-b639-08bf03ece8ff,25,79,48,59,91,92,10,21,4
b2149062-3e1a-463e-aa18-d32c7a9a8ef5,13,77,54,100,53,67,6,5,6
b2149062-3e1a-463e-aa18-d32c7a9a8ef5,25,84,75,52,98,57,10,17,6
48769153-c688-43fe-9255-5c758d55119e,13,90,41,72,43,96,7,25,5
48769153-c688-43fe-9255-5c758d55119e,25,90,84,49,86,69,5,10,5
e1fff6c0-8347-41da-9c11-ab6d42f5b3f5,13,89,91,50,74,81,1,9,8
e1fff6c0-8347-41da-9c11-ab6d42f5b3f5,25,68,90,87,58,78,4,7,8
340029c3-ea11-405b-91fa-cefad6f89f7a,13,42,40,91,57,44,9,30,9
340029c3-ea11-405b-91fa-cefad6f89f7a,25,64,72,75,51,43,2,6,9
0426fcc9-255b-40e2-bdc2-b74b38a56b49,13,59,88,80,55,91,4,10,3
0426fcc9-255b-40e2-bdc2-b74b38a56b49,25,41,98,89,75,61,6,9,3
32399ffb-2704-4f25-8b91-b8cb6ae66582,13,94,97,64,41,43,9,24,2
32399ffb-2704-4f25-8b91-b8cb6ae66582,25,44,76,43,89,70,8,14,2
f186e47a-a794-4320-8cf6-e8b87fd238c3,13,40,91,70,69,47,1,27,4
f186e47a-a794-4320-8cf6-e8b87fd238c3,25,64,97,40,86,94,7,26,4
bd5609c4-a446-4663-b93b-17fbf76d15fd,13,41,79,77,86,70,7,22,4
bd5609c4-a446-4663-b93b-17fbf76d15fd,25,65,61,99,92,49,3,19,4
2f1dc121-7d02-4c6d-8bea-75c1b86677aa,13,96,57,100,46,80,10,15,0
2f1dc121-7d02-4c6d-8bea-75c1b86677aa,25,41,72,85,75,60,8,19,0
d6cd3155-08a8-4c7f-8621-38ad0f09105c,13,41,72,70,86,99,9,7,6
d6cd3155-08a8-4c7f-8621-38ad0f09105c,25,40,56,51,100,100,1,7,6
