Student_ID,Biology,Physics,Chemistry,Intro. Tech,Average_Score,Grade
6fb78271-504d-481f-8953-5b63ba81edd9,60,59,77,77,68.25,B
f0b5156b-b82c-4074-afd5-dea589d7fd6c,58,74,54,95,70.25,A
ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,72,63,72,90,74.25,A
81d2c7de-4ce1-4b90-a669-7833b841d0a0,94,64,67,98,80.75,A
311c6eb6-2095-4ef6-8ded-f9fb4bb00f20,71,85,62,74,73.0,A
c9277d9b-6e0d-4648-b5ce-884149732d6c,74,59,63,50,61.5,B
48a639d0-15b5-4908-a8aa-71582b70e525,56,85,80,61,70.5,A
fbe33b24-3eae-4032-8bd4-a9900640be0f,73,57,99,55,71.0,A
3805f907-6cd6-4193-8746-8f591b494e15,73,95,76,61,76.25,A
8f15ba58-fce6-4504-87f8-424daae65fc1,69,98,70,79,79.0,A
dc8aee30-be60-43f7-a8be-9288e5af6e39,50,54,54,89,61.75,B
c715b2b9-c40c-4d91-86fd-e062a33dc7af,68,65,83,59,68.75,B
620e99d3-3b33-43d8-a69c-d696236c7b87,64,59,84,100,76.75,A
7746d0ba-8ae8-405b-94b4-a48268586eba,70,78,67,52,66.75,B
f2311f17-9586-4a76-8511-55ffe7a37e81,67,80,63,65,68.75,B
f1578470-0182-47c4-ba1b-58066160a6b4,83,88,91,90,88.0,A
45df16b6-382c-443f-bcfc-9b793875394c,72,71,50,80,68.25,B
b963f37f-6781-4c1f-8c53-0e36addc3e13,97,50,96,66,77.25,A
e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,51,73,98,76,74.5,A
dde9f863-22bd-4388-adb9-9102a48b3dbe,96,64,65,64,72.25,A
9b1bc895-2af4-4ab7-9e6f-ea07c4536f1d,60,54,78,72,66.0,B
3e2b6091-a092-452a-94a0-57a7b0cc1b3b,59,55,98,71,70.75,A
5cb85aed-f5f6-4c97-aefb-63b11b049863,66,51,92,63,68.0,B
859131d2-bbda-4242-ad17-4fc96f7c15ea,72,54,71,68,66.25,B
ab0e664e-9c3e-42d5-91e1-aa9676f72255,85,88,51,91,78.75,A
5a104129-54ae-4d1b-8ce6-424dbef59fe6,98,62,75,50,71.25,A
d52721e7-19bc-443e-bb02-bebb48729a4d,100,94,53,69,79.0,A
2067bdac-88bd-43d1-b540-b30e039f3a25,63,97,60,76,74.0,A
7a8d03aa-782a-45e0-88ca-765192f5df7b,61,96,58,74,72.25,A
8edddfcd-1e52-4770-bf89-7142fe716b14,82,74,71,83,77.5,A
61607459-85c7-404b-8693-da1139c6a1ca,81,82,88,56,76.75,A
9191b363-4e2d-4645-adc7-cac7fd72b050,71,93,86,69,79.75,A
a021c0ca-3531-468d-8342-bd2bf295456e,95,79,53,62,72.25,A
49c13de7-3b42-46c5-885b-15fb4a8ff810,85,56,62,76,69.75,B
1d61fac3-6cd5-4859-b2a4-47b2ef04e57d,78,97,90,50,78.75,A
706c5c56-49e2-423d-abd3-461691b78d8e,77,67,63,70,69.25,B
8a3c3b5e-801e-41da-85b1-ed25f1533ae8,55,63,98,63,69.75,B
7135f221-a6c9-437f-84da-d06a7872bdeb,67,92,84,68,77.75,A
c5c5b37a-f85e-46a1-9dad-09b252c21221,77,99,72,66,78.5,A
764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,70,99,67,56,73.0,A
71299889-a01a-4992-bf9d-3e64c1a6423b,89,52,71,52,66.0,B
b5b453ca-3d42-493c-8c9f-d3349bdf0377,100,57,75,74,76.5,A
78e3654b-faf1-4ff0-bb85-179ad5b077e0,94,92,87,61,83.5,A
bf0d073d-821c-4336-9970-cf60ebff8d15,70,69,97,90,81.5,A
57021049-6a39-4aa6-9aba-c50dca3dd859,75,55,70,53,63.25,B
d664d264-4c6e-47ff-b9de-7a3a486822b9,54,90,58,91,73.25,A
7bfdcc12-89e0-4ab3-b250-ee18260a5962,56,50,94,75,68.75,B
69288e92-c68a-452f-9b23-aa8c3bcabf85,94,78,88,88,87.0,A
