Student_ID,Extracurricular_Activity,Weekly_Hours
459ee674-73e7-4042-916c-3b0a53853918,Debate Club,7
27c8fc6c-1be5-44c3-95af-6d0cc5285425,Debate Club,10
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,Drama,3
28597b34-1725-42c7-9eb2-a7b8da3c45ca,None,0
d5ff2a1f-370b-4a29-8a53-0df99a72083c,Drama,3
837217e0-6570-46ea-9b11-f51ff7e9101d,None,0
67863fb3-f3bc-4a71-87f4-fee52c82989f,Sports,2
cdcc2d6a-1a16-498c-b648-776e183fea70,Sports,5
21768dd7-38e7-4019-bb89-86c8c7ecfe71,Debate Club,8
95132c22-1583-4b99-a50a-13dcf004e897,Music,10
e709fba6-329f-4417-9081-3d45ff45f8a2,Music,8
54e07431-cf13-4b65-9450-afa2d8e70aeb,None,0
d259f960-6ee3-4607-92ea-1324ec93e596,Debate Club,3
36f7a26c-5a9c-4679-ac3d-17e26d39da75,Sports,1
9e825aae-9d36-46a1-88de-c921260cb547,Sports,3
0f9c5300-7aa1-4567-8cf9-eea9e1fdc6d1,Sports,0
869bc00f-cc15-4a1b-a278-9642a484e035,Debate Club,4
c82ba1be-61eb-44e6-bd49-8e2004ffeab2,Art,9
809cd839-90ce-42e8-a9a5-336858129eb2,Music,2
e550d736-0780-4e71-b811-b51998dc9e0b,Music,9
c44fc4b8-5b80-48d1-8788-dfed78c04ed8,Music,5
443b1d0f-3dbc-4093-a828-44423f738f50,Debate Club,9
382b5b86-f2a3-4efd-bf13-8c80c398c332,Art,7
d86065a2-fdd5-40f8-96d7-44fdef69a980,Drama,7
e9fa97e2-5bd9-4609-b297-a782bcf474aa,Drama,2
9027e770-2460-40d2-9048-83c191519998,None,0
4f1e1a37-8ac8-4d93-be02-921df86b543a,Drama,3
86c5547c-051a-4039-b803-dcee9a069295,Drama,8
b7893986-573b-4c17-a167-c35ece7334f2,Sports,10
962c04dd-25d0-4461-859c-15740f3f0f48,Debate Club,3
f5e72daf-5d69-4bc8-9c54-d59b86bb42c7,Music,9
4d407b28-5628-4dcd-99dd-3e8c96053035,Debate Club,1
f5edf382-a3a6-4f83-8ab6-31076fd69b3a,None,0
c9784b52-9d1c-4838-adc8-cca8e3bcd6f3,Art,0
b0416f19-bbe7-4835-8e8b-f78a60ddc7f1,Art,1
643ffdae-92a5-4d04-b2dd-e1f5b3b6d344,Sports,4
ebc92914-5176-49d1-9a36-24d62e9ce8ff,Drama,8
2401342a-7f05-4bf5-afca-c5771aa6f7cb,Drama,8
e2a45909-a2dd-42d5-aafa-ab7b51cbf9e5,Sports,6
725656e3-55f3-4d50-a2fb-b984bab27bce,Sports,9
1ba827c6-c97a-44ad-81b4-55b859b9222c,Music,8
e271fff9-2a95-47f6-b817-0ebf6b6e64c5,Debate Club,4
7abfcebf-d42c-41ae-99f7-38cb6016c743,Music,10
12de9e5a-7387-428a-a9a3-db6d39bfca38,Drama,9
12fecc2b-1acf-42c5-b3a0-212042d943ee,None,0
e5eb772d-f11c-4ac5-8c0b-393a13335bc9,Sports,9
07ef2ba8-b45a-4ab3-bb94-a34de4aa786d,Debate Club,0
19ec0829-0db5-4441-a837-f4186f27c1b9,Sports,7
badf9397-ecf2-4429-b8d7-7d2f8dda4ff2,None,0
925f8199-6495-4d5f-8cb4-e891188df23b,None,0
4b6797a1-166e-4fe3-ad77-959500fa0eb4,Art,7
2bbba89d-34fa-4ee1-8696-9d4818d42238,None,0
65c06b93-c8ed-4bdd-8ef0-3f801d91fe39,Music,6
2f546033-6334-4a2a-8b4b-d7e7a4515ae0,Sports,4
770e09db-7092-4401-8367-5d580b6c03c8,Art,4
aadf3692-b24b-4b96-8092-7b7426b07ff6,Sports,2
96f84ff7-c1a7-4883-b880-287869fb0763,Drama,8
891778e8-f733-4094-ab2b-78b985c7f3be,Drama,4
143665f5-4c81-4260-b9ec-533c3c53090e,Art,7
ccea5031-844e-450b-a684-390c923b7820,Music,9
2c41cbd3-72f4-44ab-81d7-1f4af3025d16,Debate Club,9
6c624c2c-0aec-4ec7-a04d-b9da31567f2a,Music,7
d5881c1c-25db-4946-a091-e5b4d2938e6e,Sports,1
635a775d-1647-4e3f-9127-b207ceae1325,Drama,3
df9b7c1f-eacb-4f6d-b549-c9f9850a48d4,None,0
6a18e5af-1cce-48e9-ab6a-8061c81c8d31,Debate Club,5
ecc817a6-19a6-480e-b08c-e6c2f6ff3521,Music,1
5807cf74-e150-4425-891f-4683de12dbf1,Art,5
099759a3-7919-455c-9be4-f19f92701d60,Debate Club,2
