Student_ID,Time_ID,Days_Attended,Days_Missed,Absence_Reason
459ee674-73e7-4042-916c-3b0a53853918,1,12,18,None
459ee674-73e7-4042-916c-3b0a53853918,2,26,4,None
459ee674-73e7-4042-916c-3b0a53853918,3,24,6,Other
459ee674-73e7-4042-916c-3b0a53853918,4,2,28,None
459ee674-73e7-4042-916c-3b0a53853918,5,10,20,Illness
459ee674-73e7-4042-916c-3b0a53853918,6,4,26,Other
459ee674-73e7-4042-916c-3b0a53853918,7,20,10,Family Event
459ee674-73e7-4042-916c-3b0a53853918,8,5,25,None
459ee674-73e7-4042-916c-3b0a53853918,9,29,1,Illness
459ee674-73e7-4042-916c-3b0a53853918,10,24,6,Illness
459ee674-73e7-4042-916c-3b0a53853918,11,11,19,Family Event
459ee674-73e7-4042-916c-3b0a53853918,12,21,9,Family Event
459ee674-73e7-4042-916c-3b0a53853918,13,12,18,Other
459ee674-73e7-4042-916c-3b0a53853918,14,27,3,None
459ee674-73e7-4042-916c-3b0a53853918,15,13,17,None
459ee674-73e7-4042-916c-3b0a53853918,16,18,12,Family Event
459ee674-73e7-4042-916c-3b0a53853918,17,3,27,Other
459ee674-73e7-4042-916c-3b0a53853918,18,22,8,Family Event
459ee674-73e7-4042-916c-3b0a53853918,19,10,20,Illness
459ee674-73e7-4042-916c-3b0a53853918,20,12,18,Illness
459ee674-73e7-4042-916c-3b0a53853918,21,12,18,None
459ee674-73e7-4042-916c-3b0a53853918,22,10,20,None
459ee674-73e7-4042-916c-3b0a53853918,23,6,24,Family Event
459ee674-73e7-4042-916c-3b0a53853918,24,15,15,Family Event
459ee674-73e7-4042-916c-3b0a53853918,25,22,8,Family Event
459ee674-73e7-4042-916c-3b0a53853918,26,5,25,Family Event
459ee674-73e7-4042-916c-3b0a53853918,27,27,3,None
459ee674-73e7-4042-916c-3b0a53853918,28,30,0,Family Event
459ee674-73e7-4042-916c-3b0a53853918,29,8,22,Illness
459ee674-73e7-4042-916c-3b0a53853918,30,13,17,None
459ee674-73e7-4042-916c-3b0a53853918,31,1,29,None
459ee674-73e7-4042-916c-3b0a53853918,32,29,1,Illness
459ee674-73e7-4042-916c-3b0a53853918,33,25,5,Illness
459ee674-73e7-4042-916c-3b0a53853918,34,1,29,None
459ee674-73e7-4042-916c-3b0a53853918,35,0,30,Family Event
459ee674-73e7-4042-916c-3b0a53853918,36,3,27,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,1,21,9,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,2,1,29,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,3,27,3,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,4,9,21,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,5,20,10,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,6,1,29,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,7,9,21,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,8,20,10,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,9,23,7,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,10,27,3,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,11,25,5,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,12,0,30,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,13,13,17,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,14,21,9,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,15,26,4,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,16,16,14,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,17,9,21,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,18,14,16,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,19,18,12,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,20,14,16,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,21,12,18,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,22,26,4,None
27c8fc6c-1be5-44c3-95af-6d0cc5285425,23,30,0,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,24,28,2,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,25,8,22,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,26,2,28,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,27,19,11,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,28,9,21,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,29,14,16,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,30,19,11,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,31,0,30,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,32,11,19,Other
27c8fc6c-1be5-44c3-95af-6d0cc5285425,33,14,16,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,34,23,7,Family Event
27c8fc6c-1be5-44c3-95af-6d0cc5285425,35,12,18,Illness
27c8fc6c-1be5-44c3-95af-6d0cc5285425,36,7,23,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,1,0,30,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,2,5,25,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,3,19,11,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,4,28,2,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,5,2,28,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,6,3,27,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,7,0,30,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,8,25,5,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,9,15,15,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,10,21,9,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,11,1,29,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,12,24,6,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,13,4,26,Illness
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,14,13,17,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,15,20,10,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,16,29,1,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,17,15,15,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,18,26,4,Illness
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,19,20,10,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,20,10,20,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,21,28,2,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,22,11,19,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,23,20,10,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,24,25,5,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,25,30,0,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,26,1,29,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,27,8,22,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,28,11,19,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,29,2,28,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,30,16,14,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,31,13,17,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,32,8,22,Illness
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,33,15,15,Other
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,34,6,24,None
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,35,19,11,Family Event
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,36,5,25,Other
28597b34-1725-42c7-9eb2-a7b8da3c45ca,1,0,30,Other
28597b34-1725-42c7-9eb2-a7b8da3c45ca,2,19,11,Family Event
28597b34-1725-42c7-9eb2-a7b8da3c45ca,3,15,15,Family Event
28597b34-1725-42c7-9eb2-a7b8da3c45ca,4,10,20,Illness
28597b34-1725-42c7-9eb2-a7b8da3c45ca,5,6,24,Family Event
28597b34-1725-42c7-9eb2-a7b8da3c45ca,6,23,7,None
28597b34-1725-42c7-9eb2-a7b8da3c45ca,7,7,23,None
