School_ID,Time_ID,Budget,Spending_On_Library,Spending_On_Teachers,Number_of_Classrooms,Library_Books,Health_Staff
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,1,687773,290358,1922179,39,6326,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2,2466919,983070,908054,26,723,5
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,3,4666317,526580,1542082,25,7105,3
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,4,1600100,250170,1959974,17,9303,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,5,3311824,713730,1534292,20,6664,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,6,4009475,423212,875034,44,8119,5
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,7,767787,978330,1430589,43,4653,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,8,4643853,106096,1872174,48,1744,9
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,9,2510112,514990,1635340,26,3430,2
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,10,1359321,678147,1670576,20,7586,2
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,11,1764564,510837,1747078,41,2487,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,12,1965976,754550,263294,17,3710,3
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,13,3631667,235327,1006459,45,5192,5
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,14,2855536,217533,767002,43,2081,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,15,1093879,151291,1895774,18,6657,9
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,16,4501079,675739,1162092,35,3362,7
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,17,2704459,322730,1335822,10,4413,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,18,1289468,348730,1882740,42,7733,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,19,1232207,649794,685050,11,5076,5
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,20,727832,717514,1988578,19,1076,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,21,3705449,411645,1467964,32,1654,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,22,1803520,266461,1682896,39,3000,9
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,23,4380820,487727,776923,34,4387,9
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,24,1837201,835831,723426,38,7123,4
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,25,1162873,122582,1715819,43,4457,10
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,26,4897645,505273,461073,21,2814,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,27,2436868,314830,404530,27,1808,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,28,903884,898584,348850,38,5165,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,29,1701963,127765,269513,33,521,7
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,30,1942165,618798,1357358,32,4858,4
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,31,3610520,876438,938549,19,6401,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,32,4128006,474801,541520,35,4889,7
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,33,2592584,867315,1201391,42,9323,7
