Student_ID,Time_ID,Math_Score,Science_Score,English_Score,Social_Studies_Score,Physical_Education_Score,Library_Hours_Week,Teacher_Hours_Week,Weekly_Activity_Hours
459ee674-73e7-4042-916c-3b0a53853918,13,54,100,79,80,53,2,14,7
459ee674-73e7-4042-916c-3b0a53853918,26,57,42,61,90,45,6,20,7
27c8fc6c-1be5-44c3-95af-6d0cc5285425,13,98,73,50,50,80,4,29,10
27c8fc6c-1be5-44c3-95af-6d0cc5285425,26,74,42,65,83,51,5,16,10
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,13,72,52,54,85,73,9,7,3
f6f24d1c-5bb8-49c8-8932-59f31ee89a4c,26,52,76,53,92,87,10,9,3
28597b34-1725-42c7-9eb2-a7b8da3c45ca,13,48,49,48,72,90,4,17,0
28597b34-1725-42c7-9eb2-a7b8da3c45ca,26,73,67,73,59,99,4,6,0
d5ff2a1f-370b-4a29-8a53-0df99a72083c,13,100,71,48,62,83,2,18,3
d5ff2a1f-370b-4a29-8a53-0df99a72083c,26,46,74,78,44,76,10,15,3
837217e0-6570-46ea-9b11-f51ff7e9101d,13,85,55,73,88,94,4,26,0
837217e0-6570-46ea-9b11-f51ff7e9101d,26,46,42,42,96,83,5,18,0
67863fb3-f3bc-4a71-87f4-fee52c82989f,13,99,62,46,93,41,1,30,2
67863fb3-f3bc-4a71-87f4-fee52c82989f,26,47,93,43,56,62,9,24,2
cdcc2d6a-1a16-498c-b648-776e183fea70,13,82,63,56,46,44,4,14,5
cdcc2d6a-1a16-498c-b648-776e183fea70,26,56,76,81,91,73,1,17,5
21768dd7-38e7-4019-bb89-86c8c7ecfe71,13,80,73,48,46,59,1,26,8
21768dd7-38e7-4019-bb89-86c8c7ecfe71,26,47,81,54,81,76,3,6,8
95132c22-1583-4b99-a50a-13dcf004e897,13,98,94,68,44,61,2,16,10
95132c22-1583-4b99-a50a-13dcf004e897,26,84,60,43,97,66,2,13,10
e709fba6-329f-4417-9081-3d45ff45f8a2,13,75,64,56,67,46,9,22,8
e709fba6-329f-4417-9081-3d45ff45f8a2,26,63,62,60,63,64,9,26,8
54e07431-cf13-4b65-9450-afa2d8e70aeb,13,91,53,84,49,82,7,19,0
54e07431-cf13-4b65-9450-afa2d8e70aeb,26,71,69,95,90,71,9,30,0
d259f960-6ee3-4607-92ea-1324ec93e596,13,80,88,93,61,95,10,6,3
d259f960-6ee3-4607-92ea-1324ec93e596,26,94,51,48,49,73,1,22,3
36f7a26c-5a9c-4679-ac3d-17e26d39da75,13,84,68,93,63,77,7,11,1
36f7a26c-5a9c-4679-ac3d-17e26d39da75,26,81,55,88,59,60,5,25,1
9e825aae-9d36-46a1-88de-c921260cb547,13,98,49,71,72,58,6,10,3
9e825aae-9d36-46a1-88de-c921260cb547,26,96,46,56,47,42,3,13,3
0f9c5300-7aa1-4567-8cf9-eea9e1fdc6d1,13,76,87,75,49,83,1,5,0
0f9c5300-7aa1-4567-8cf9-eea9e1fdc6d1,26,88,87,51,93,42,2,6,0
869bc00f-cc15-4a1b-a278-9642a484e035,13,68,63,42,40,88,5,13,4
869bc00f-cc15-4a1b-a278-9642a484e035,26,84,64,43,50,76,7,30,4
c82ba1be-61eb-44e6-bd49-8e2004ffeab2,13,96,57,45,76,56,2,19,9
